"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times2009","+low",120,0.17,0.22,0.61,0.134059405940594,0.147425742574257,0.718514851485148,0.36,"179.093006617933",0.705316872155549
"event.times2010","full",120,0,0.22,0.78,0,0.156435643564356,0.843564356435644,0.46,"82.6671837462179",0.864131113414369
"event.times2011","low.var",120,0.11,0.31,0.58,0.109306930693069,0.325049504950495,0.565643564356436,0.47,"16.3930742317502",1.0057847285073
"event.times2012","+high",120,0,0.37,0.63,0.00504950495049505,0.356831683168317,0.638118811881188,0.53,"121.970154731795",1.1037510971506
"event.times2013","+low",120,0.27,0.16,0.57,0.221386138613861,0.13990099009901,0.638712871287129,0.36,"172.76058655455",1.0445017353232
"event.times2014","full",120,0,0.32,0.68,0,0.285940594059406,0.714059405940594,0.47,"127.554626383014",0.275937153075262
"event.times2015","low.var",120,0.18,0.44,0.38,0.223663366336634,0.389207920792079,0.387128712871287,0.49,"95.6240311617283",1.05085329768901
"event.times2016","+high",120,0.18,0.36,0.46,0.167029702970297,0.322475247524752,0.510495049504951,0.49,"29.6705762646514",0.960857306121139
"event.times2017","+low",120,0.43,0.17,0.4,0.445841584158416,0.133564356435644,0.420594059405941,0.35,"73.0178591114804",1.22859447443365
"event.times2018","full",120,0.12,0.36,0.52,0.129306930693069,0.339405940594059,0.531287128712871,0.48,"133.342281806417",0.449497699240012
"event.times2019","low.var",120,0.11,0.25,0.64,0.127722772277228,0.296336633663366,0.575940594059406,0.44,"128.803564888475",0.929990988425978
"event.times2020","+high",120,0,0.39,0.61,0,0.376336633663366,0.623663366336634,0.63,"107.991083811649",0.998527874755331
"event.times2021","+low",120,0.16,0.19,0.65,0.185049504950495,0.188415841584158,0.626534653465347,0.29,"137.883002223434",1.20029082303712
"event.times2022","full",120,0,0,1,0,0.0843564356435644,0.915643564356436,0.49,"107.606128688422",0.471509071614877
"event.times2023","low.var",120,0.32,0.28,0.4,0.36039603960396,0.260693069306931,0.378910891089109,0.46,"91.7750892208061",1.05037199795311
