"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times1941","+low",100,0.41,0,0.59,0.408712871287129,0.0095049504950495,0.581782178217822,0.09,"189.508941789734",1.02793830820447
"event.times1942","full",100,0.72,0,0.28,0.71960396039604,0,0.28039603960396,0.01,"0",0.540984897623139
"event.times1943","low.var",100,0.67,0.11,0.22,0.712574257425743,0.0704950495049505,0.216930693069307,0.3,"191.51939680832",1.18783942288313
"event.times1944","+high",100,0.82,0,0.18,0.848910891089109,0,0.151089108910891,0.01,"0",1.37176865460961
"event.times1945","+low",100,0.52,0,0.48,0.521188118811881,0,0.478811881188119,0.04,"45.5933645561739",0.908596216493946
"event.times1946","full",100,0.36,0.19,0.45,0.373168316831683,0.181287128712871,0.445544554455446,0.26,"184.057078811828",1.71641887328089
"event.times1947","low.var",100,0.48,0.08,0.44,0.373663366336634,0.0935643564356436,0.532772277227723,0.21,"194.245537188526",0.829521406709615
"event.times1948","+high",100,0.08,0.37,0.55,0.0733663366336634,0.41990099009901,0.506732673267327,0.57,"166.096145364451",0.977158516197384
"event.times1949","+low",100,0.57,0,0.43,0.562079207920792,0,0.437920792079208,0.01,"0",1.09671355278654
"event.times1950","full",100,0.53,0.11,0.36,0.516633663366337,0.103762376237624,0.37960396039604,0.21,"164.23650243809",1.38309236294975
"event.times1951","low.var",100,0.23,0.08,0.69,0.221782178217822,0.103168316831683,0.675049504950495,0.3,"152.658667738564",1.23263655412763
"event.times1952","+high",100,0,0.31,0.69,0,0.304851485148515,0.695148514851485,0.43,"76.2059384070864",1.70785712823357
"event.times1953","+low",100,0.56,0,0.44,0.528910891089109,0,0.471089108910891,0.02,"27.1660446068021",0.640984822545162
"event.times1954","full",100,0.16,0.06,0.78,0.183960396039604,0.126435643564356,0.68960396039604,0.3,"153.209985375437",1.3426758169677
"event.times1955","low.var",100,0.54,0.12,0.34,0.546039603960396,0.136138613861386,0.317821782178218,0.26,"159.291410320287",1.02766514585822
"event.times1956","+high",100,0,0.12,0.88,0,0.136633663366337,0.863366336633663,0.45,"104.034849020605",1.16921620298491
"event.times1957","+low",100,0.6,0,0.4,0.636435643564356,0,0.363564356435644,0.01,"0",0.748594296392655
"event.times1958","full",100,0.74,0.04,0.22,0.697326732673267,0.0382178217821782,0.264455445544554,0.08,"126.041031569426",1.40813065506381
